,amount,context_ref,decimals,element_id,unit_ref
247,7183000000,Prior1YearInstant,-6,jppfs_cor_notesandaccountspayabletrade,JPY
248,6672000000,CurrentYearInstant,-6,jppfs_cor_notesandaccountspayabletrade,JPY
249,23191000000,Prior1YearInstant,-6,jppfs_cor_shorttermloanspayable,JPY
250,19734000000,CurrentYearInstant,-6,jppfs_cor_shorttermloanspayable,JPY
251,10000000000,Prior1YearInstant,-6,jppfs_cor_commercialpapersliabilities,JPY
252,7000000000,CurrentYearInstant,-6,jppfs_cor_commercialpapersliabilities,JPY
253,201000000,Prior1YearInstant,-6,jppfs_cor_leaseobligationscl,JPY
254,176000000,CurrentYearInstant,-6,jppfs_cor_leaseobligationscl,JPY
255,1288000000,Prior1YearInstant,-6,jppfs_cor_incometaxespayable,JPY
256,439000000,CurrentYearInstant,-6,jppfs_cor_incometaxespayable,JPY
257,707000000,Prior1YearInstant,-6,jppfs_cor_provisionforbonuses,JPY
258,713000000,CurrentYearInstant,-6,jppfs_cor_provisionforbonuses,JPY
259,14000000,Prior1YearInstant,-6,jppfs_cor_provisionfordirectorsbonuses,JPY
260,41000000,CurrentYearInstant,-6,jppfs_cor_provisionfordirectorsbonuses,JPY
261,6758000000,Prior1YearInstant,-6,jppfs_cor_othercl,JPY
262,6253000000,CurrentYearInstant,-6,jppfs_cor_othercl,JPY
263,49345000000,Prior1YearInstant,-6,jppfs_cor_currentliabilities,JPY
264,41031000000,CurrentYearInstant,-6,jppfs_cor_currentliabilities,JPY
265,3000000000,CurrentYearInstant,-6,jppfs_cor_bondswithsubscriptionrightstosharesncl,JPY
266,8153000000,Prior1YearInstant,-6,jppfs_cor_longtermloanspayable,JPY
